BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
Brooklyn, NY 11201"
Koré Coffee,https://www.yelp.com/biz/kor%C3%A9-coffee-new-york-7?osq=coffee,https://www.google.com/search?q=Koré+Coffee26A+Elizabeth+St+New+York+NY+10013,4.7,185,"26A Elizabeth St, New York, NY 10013","Koré Coffee
26A Elizabeth St
New York, NY 10013"
Coffee Project New York | East Village,https://www.yelp.com/biz/coffee-project-new-york-east-village-new-york?osq=coffee,https://www.google.com/search?q=Coffee+Project+New+York+|+East+Village239+E+5th+St+New+York+NY+10003,4.7,777,"239 E 5th St, New York, NY 10003","Coffee Project New York | East Village
239 E 5th St
New York, NY 10003"
% Arabica,https://www.yelp.com/biz/arabica-new-york?osq=coffee,https://www.google.com/search?q=%+Arabica8+Prince+St+New+York+NY+10012,4.3,11,"8 Prince St, New York, NY 10012","% Arabica
8 Prince St
New York, NY 10012"
Dreamers Coffee House,https://www.yelp.com/biz/dreamers-coffee-house-new-york?osq=coffee,https://www.google.com/search?q=Dreamers+Coffee+House54W+Henry+St+New+York+NY+10002,4.8,70,"54W Henry St, New York, NY 10002","Dreamers Coffee House
54W Henry St
New York, NY 10002"
Le Phin,https://www.yelp.com/biz/le-phin-new-york-2?,https://www.google.com/search?q=Le+Phin259+E+10th+St+New+York+NY+10009,4.7,122,"259 E 10th St, New York, NY 10009","Le Phin
259 E 10th St
New York, NY 10009"
Artbean Coffee,https://www.yelp.com/biz/artbean-coffee-new-york?osq=coffee,https://www.google.com/search?q=Artbean+Coffee19+Doyers+St+New+York+NY+10013,4.5,58,"19 Doyers St, New York, NY 10013","Artbean Coffee
19 Doyers St
New York, NY 10013"
Butler,https://www.yelp.com/biz/butler-brooklyn-2?osq=coffee,https://www.google.com/search?q=Butler40+Water+St+Brooklyn+NY+11201,4.2,199,"40 Water St, Brooklyn, NY 11201","Butler
40 Water St
Brooklyn, NY 11201"
Dawn&#x27;s ‘Til Dusk,https://www.yelp.com/biz/dawns-til-dusk-brooklyn-2?osq=coffee,https://www.google.com/search?q=Dawn&#x27;s+‘Til+Dusk33+Main+St+Brooklyn+NY+11201,4.5,20,"33 Main St, Brooklyn, NY 11201","Dawn&#x27;s ‘Til Dusk
33 Main St
Brooklyn, NY 11201"
Saltwater Coffee,https://www.yelp.com/biz/saltwater-coffee-new-york-2?osq=coffee,https://www.google.com/search?q=Saltwater+Coffee126+Waverly+Pl+New+York+NY+10011,4.3,56,"126 Waverly Pl, New York, NY 10011","Saltwater Coffee
126 Waverly Pl
New York, NY 10011"
